Submitted,Faction,Class,Sex,Homeland,Strength,Intelligence,Willpower,Dexterity,Constitution
2012-05-31 13:00:22,Darkside,Rogue,Male,Ramshorned,16,6,8,19,18
2012-05-31 13:00:21,Darkside,Rogue,Male,Ramshorned,14,9,11,16,19
2012-05-31 13:00:20,Darkside,Rogue,Male,Ramshorned,16,9,8,16,16
2012-05-31 13:00:20,Darkside,Rogue,Male,Ramshorned,15,10,8,19,16
2012-05-31 13:00:18,Darkside,Rogue,Male,Ramshorned,18,8,9,14,19
2012-05-31 13:00:18,Darkside,Rogue,Male,Ramshorned,16,9,8,17,16
2012-05-31 13:00:17,Darkside,Rogue,Male,Ramshorned,17,6,11,19,17
2012-05-31 13:00:16,Darkside,Rogue,Male,Ramshorned,15,10,10,15,17
2012-05-31 13:00:15,Darkside,Rogue,Male,Ramshorned,14,8,9,17,17
2012-05-31 13:00:14,Darkside,Rogue,Male,Ramshorned,15,10,11,12,18
2012-05-31 13:00:14,Darkside,Rogue,Male,Ramshorned,13,9,11,18,14
2012-05-31 13:00:13,Darkside,Rogue,Male,Ramshorned,15,7,10,18,18
2012-05-31 13:00:12,Darkside,Rogue,Male,Ramshorned,15,9,8,19,15
2012-05-31 13:00:12,Darkside,Rogue,Male,Ramshorned,16,8,12,16,17
2012-05-31 13:00:11,Darkside,Rogue,Male,Ramshorned,13,7,10,19,17
2012-05-31 13:00:11,Darkside,Rogue,Male,Ramshorned,15,9,8,18,16
2012-05-31 13:00:10,Darkside,Rogue,Male,Ramshorned,16,10,9,17,13
2012-05-31 13:00:09,Darkside,Rogue,Male,Ramshorned,15,7,10,18,15
2012-05-31 13:00:09,Darkside,Rogue,Male,Ramshorned,13,10,10,19,16
2012-05-31 13:00:08,Darkside,Rogue,Male,Ramshorned,15,9,12,15,17
2012-05-31 13:00:07,Darkside,Rogue,Male,Ramshorned,13,6,10,17,19
2012-05-31 13:00:07,Darkside,Rogue,Male,Ramshorned,16,8,12,16,18
2012-05-31 13:00:06,Darkside,Rogue,Male,Ramshorned,17,8,8,17,17
2012-05-31 13:00:05,Darkside,Rogue,Male,Ramshorned,15,7,7,17,19
2012-05-31 13:00:05,Darkside,Rogue,Male,Ramshorned,15,11,8,19,18
2012-05-31 13:00:04,Darkside,Rogue,Male,Ramshorned,14,11,8,15,18
2012-05-31 13:00:04,Darkside,Rogue,Male,Ramshorned,15,10,12,19,13
2012-05-31 13:00:03,Darkside,Rogue,Male,Ramshorned,16,7,7,17,19
2012-05-31 13:00:02,Darkside,Rogue,Male,Ramshorned,15,6,11,18,18
2012-05-31 13:00:02,Darkside,Rogue,Male,Ramshorned,16,8,11,18,15
2012-05-31 13:00:01,Darkside,Rogue,Male,Ramshorned,12,10,10,15,18
2012-05-31 13:00:00,Darkside,Rogue,Male,Ramshorned,12,9,7,19,18
2012-05-31 13:00:00,Darkside,Rogue,Male,Ramshorned,16,8,11,19,14
2012-05-31 12:59:59,Darkside,Rogue,Male,Ramshorned,12,9,11,16,19
2012-05-31 12:59:58,Darkside,Rogue,Male,Ramshorned,17,7,10,16,16
2012-05-31 12:59:58,Darkside,Rogue,Male,Ramshorned,12,9,9,18,18
2012-05-31 12:59:57,Darkside,Rogue,Male,Ramshorned,14,6,11,16,18
2012-05-31 12:59:56,Darkside,Rogue,Male,Ramshorned,16,9,11,17,15
2012-05-31 12:59:56,Darkside,Rogue,Male,Ramshorned,16,6,12,16,15
2012-05-31 12:59:55,Darkside,Rogue,Male,Ramshorned,16,11,9,17,13
2012-05-31 12:59:54,Darkside,Rogue,Male,Ramshorned,16,8,11,15,15
2012-05-31 12:59:54,Darkside,Rogue,Male,Ramshorned,15,6,8,17,19
2012-05-31 12:59:53,Darkside,Rogue,Male,Ramshorned,14,7,9,18,18
2012-05-31 12:59:53,Darkside,Rogue,Male,Ramshorned,14,8,7,18,19
2012-05-31 12:59:52,Darkside,Rogue,Male,Ramshorned,12,10,10,15,18
2012-05-31 12:59:51,Darkside,Rogue,Male,Ramshorned,16,9,8,18,14
2012-05-31 12:59:51,Darkside,Rogue,Male,Ramshorned,14,11,10,18,15
2012-05-31 12:59:50,Darkside,Rogue,Male,Ramshorned,16,5,12,19,14
2012-05-31 12:59:49,Darkside,Rogue,Male,Ramshorned,17,6,7,18,18
2012-05-31 12:59:48,Darkside,Rogue,Male,Ramshorned,16,9,11,16,15
2012-05-31 12:59:48,Darkside,Rogue,Male,Ramshorned,17,6,11,18,17
2012-05-31 12:59:47,Darkside,Rogue,Male,Ramshorned,18,8,10,15,14
2012-05-31 12:59:46,Darkside,Rogue,Male,Ramshorned,13,8,10,18,17
2012-05-31 12:59:46,Darkside,Rogue,Male,Ramshorned,17,5,11,19,15
2012-05-31 12:59:45,Darkside,Rogue,Male,Ramshorned,14,10,12,17,17
2012-05-31 12:59:44,Darkside,Rogue,Male,Ramshorned,12,10,8,19,16
2012-05-31 12:59:44,Darkside,Rogue,Male,Ramshorned,16,8,9,19,18
2012-05-31 12:59:43,Darkside,Rogue,Male,Ramshorned,14,6,11,18,17
2012-05-31 12:59:43,Darkside,Rogue,Male,Ramshorned,13,9,11,14,18
2012-05-31 12:59:42,Darkside,Rogue,Male,Ramshorned,18,7,9,18,17
2012-05-31 12:59:41,Darkside,Rogue,Male,Ramshorned,12,5,11,19,19
2012-05-31 12:59:41,Darkside,Rogue,Male,Ramshorned,14,7,11,17,16
2012-05-31 12:59:40,Darkside,Rogue,Male,Ramshorned,14,6,9,17,19
2012-05-31 12:59:39,Darkside,Rogue,Male,Ramshorned,16,6,11,18,14
2012-05-31 12:59:39,Darkside,Rogue,Male,Ramshorned,17,8,9,17,18
2012-05-31 12:59:38,Darkside,Rogue,Male,Ramshorned,13,7,8,18,19
2012-05-31 12:59:37,Darkside,Rogue,Male,Ramshorned,13,10,8,18,16
2012-05-31 12:59:37,Darkside,Rogue,Male,Ramshorned,16,8,9,17,19
2012-05-31 12:59:36,Darkside,Rogue,Male,Ramshorned,12,9,10,17,18
2012-05-31 12:59:36,Darkside,Rogue,Male,Ramshorned,16,10,12,16,17
2012-05-31 12:59:35,Darkside,Rogue,Male,Ramshorned,16,5,11,17,17
2012-05-31 12:59:34,Darkside,Rogue,Male,Ramshorned,13,9,11,19,14
2012-05-31 12:57:28,Darkside,Rogue,Male,Ramshorned,16,5,10,17,19
2012-05-31 12:57:27,Darkside,Rogue,Male,Ramshorned,15,6,11,15,19
2012-05-31 12:57:26,Darkside,Rogue,Male,Ramshorned,13,8,12,15,17
2012-05-31 12:57:25,Darkside,Rogue,Male,Ramshorned,15,8,8,18,17
2012-05-31 12:57:25,Darkside,Rogue,Male,Ramshorned,16,10,9,16,18
2012-05-31 12:48:10,Darkside,Rogue,Male,Ramshorned,17,6,8,18,18
