Submitted,Faction,Class,Sex,Homeland,Strength,Intelligence,Willpower,Dexterity,Constitution,Sum
,,,,min,14,12,11,16,18,71
,,,,max,14,12,11,16,18,71
,,,,average,7.0,6.0,5.5,8.0,9.0,35.5
2013-03-20 01:09:01,Human,Rogue,Female,Illian,14,12,11,16,18,71
