Submitted,Faction,Class,Sex,Homeland,Strength,Intelligence,Willpower,Dexterity,Constitution,Sum
2013-06-17 20:21:37,Darkside,Rogue,Male,Wolfish Trolloc,16,10,10,17,15,68
2013-06-17 20:19:35,Darkside,Rogue,Male,Wolfish Trolloc,14,10,8,18,19,69
2013-06-17 20:17:29,Darkside,Rogue,Male,Wolfish Trolloc,16,9,9,18,16,68
2013-06-17 20:13:37,Darkside,Rogue,Male,Wolfish Trolloc,17,13,8,16,13,67
2013-06-17 20:10:15,Darkside,Rogue,Male,Wolfish Trolloc,14,11,5,17,18,65
2013-06-17 20:08:01,Darkside,Rogue,Male,Wolfish Trolloc,15,9,8,19,16,67
2013-06-17 20:05:56,Darkside,Rogue,Male,Wolfish Trolloc,14,10,9,17,16,66
2013-06-17 20:03:11,Darkside,Rogue,Male,Wolfish Trolloc,18,10,4,17,17,66
2013-06-17 19:51:31,Darkside,Rogue,Male,Wolfish Trolloc,11,10,9,19,17,66
2013-06-17 19:49:02,Darkside,Rogue,Male,Wolfish Trolloc,16,9,7,18,17,67
2013-06-17 19:46:52,Darkside,Rogue,Male,Wolfish Trolloc,16,8,9,18,14,65
2013-06-17 19:44:13,Darkside,Rogue,Male,Wolfish Trolloc,15,10,9,17,14,65
2013-06-17 19:41:41,Darkside,Rogue,Male,Wolfish Trolloc,15,9,8,18,15,65
2013-06-17 19:39:48,Darkside,Rogue,Male,Wolfish Trolloc,16,8,6,18,18,66
2013-06-17 19:36:28,Darkside,Rogue,Male,Wolfish Trolloc,13,8,8,19,18,66
2013-06-17 19:34:09,Darkside,Rogue,Male,Wolfish Trolloc,16,9,9,16,16,66
2013-03-26 22:59:10,Darkside,Rogue,Male,Wolfish Trolloc,16,10,9,15,17,67
2013-03-26 21:56:50,Darkside,Rogue,Male,Wolfish Trolloc,16,8,7,19,16,66
2013-03-26 21:54:55,Darkside,Rogue,Male,Wolfish Trolloc,16,12,7,17,14,66
2013-03-26 21:53:09,Darkside,Rogue,Male,Wolfish Trolloc,13,10,10,19,14,66
2013-03-26 21:51:36,Darkside,Rogue,Male,Wolfish Trolloc,18,11,6,16,18,69
2013-03-26 21:49:22,Darkside,Rogue,Male,Wolfish Trolloc,18,8,8,17,16,67
2013-03-26 21:46:56,Darkside,Rogue,Male,Wolfish Trolloc,13,10,10,18,16,67
2013-03-26 21:44:52,Darkside,Rogue,Male,Wolfish Trolloc,16,13,7,19,13,68
2013-03-26 21:43:00,Darkside,Rogue,Male,Wolfish Trolloc,13,9,8,19,16,65
2013-03-26 21:40:38,Darkside,Rogue,Male,Wolfish Trolloc,16,12,8,17,17,70
2013-03-26 21:37:32,Darkside,Rogue,Male,Wolfish Trolloc,16,10,6,17,16,65
2013-03-26 21:35:41,Darkside,Rogue,Male,Wolfish Trolloc,14,13,8,18,17,70
