Submitted,Faction,Class,Sex,Homeland,Strength,Intelligence,Willpower,Dexterity,Constitution
2013-08-25 06:28:14,Human,Hunter,Female,Saldaea,13,11,15,14,17
2013-08-25 06:25:57,Human,Hunter,Female,Saldaea,16,14,10,15,16
2013-08-25 06:23:59,Human,Hunter,Female,Saldaea,16,14,12,15,15
2013-08-25 06:19:38,Human,Hunter,Female,Saldaea,14,14,13,17,15
2013-08-25 06:17:13,Human,Hunter,Female,Saldaea,16,12,11,15,16
2013-08-25 06:15:13,Human,Hunter,Female,Saldaea,16,13,12,15,14
2013-08-25 06:11:33,Human,Hunter,Female,Saldaea,17,15,11,17,13
2013-08-25 06:08:56,Human,Hunter,Female,Saldaea,17,12,13,18,15
2013-08-25 06:06:50,Human,Hunter,Female,Saldaea,18,10,14,15,16
2013-08-25 06:02:44,Human,Hunter,Female,Saldaea,15,15,14,14,14
2013-08-25 05:59:52,Human,Hunter,Female,Saldaea,18,14,10,17,13
2013-08-25 05:57:37,Human,Hunter,Female,Saldaea,14,14,12,16,17
2013-08-25 05:55:38,Human,Hunter,Female,Saldaea,18,13,12,15,19
2013-08-25 05:51:35,Human,Hunter,Female,Saldaea,16,11,10,18,15
2013-08-25 05:49:13,Human,Hunter,Female,Saldaea,18,12,10,15,16
2013-08-25 05:47:12,Human,Hunter,Female,Saldaea,18,12,11,15,15
2013-08-25 05:43:37,Human,Hunter,Female,Saldaea,16,15,14,14,15
2013-08-25 05:40:46,Human,Hunter,Female,Saldaea,16,12,14,15,15
2013-08-25 05:38:42,Human,Hunter,Female,Saldaea,16,11,14,17,15
2013-08-25 05:32:50,Human,Hunter,Female,Saldaea,16,10,14,15,16
2013-08-25 05:30:17,Human,Hunter,Female,Saldaea,18,13,15,16,14
2013-08-25 05:28:11,Human,Hunter,Female,Saldaea,18,11,11,15,15
2013-08-25 05:25:51,Human,Hunter,Female,Saldaea,16,14,12,15,13
2013-08-25 05:23:06,Human,Hunter,Female,Saldaea,16,12,12,15,15
2013-08-25 05:20:46,Human,Hunter,Female,Saldaea,16,12,12,15,15
2013-08-25 05:18:46,Human,Hunter,Female,Saldaea,18,12,12,13,15
