Submitted,Faction,Class,Sex,Homeland,Strength,Intelligence,Willpower,Dexterity,Constitution
2013-09-19 18:58:30,Human,Channeler,Male,Saldaea,16,15,17,13,11
2013-09-19 18:58:29,Human,Channeler,Male,Saldaea,16,19,13,13,13
2013-09-19 18:58:29,Human,Channeler,Male,Saldaea,16,16,14,13,12
2013-09-19 18:58:28,Human,Channeler,Male,Saldaea,13,18,16,13,13
2013-09-19 18:58:28,Human,Channeler,Male,Saldaea,16,15,19,13,12
2013-09-19 18:58:27,Human,Channeler,Male,Saldaea,12,17,14,17,12
2013-09-19 18:58:27,Human,Channeler,Male,Saldaea,14,16,15,16,12
2013-09-19 18:58:27,Human,Channeler,Male,Saldaea,17,15,17,15,12
2013-09-19 18:58:26,Human,Channeler,Male,Saldaea,15,16,12,12,15
2013-09-19 18:58:26,Human,Channeler,Male,Saldaea,16,15,13,14,12
2013-09-19 18:58:25,Human,Channeler,Male,Saldaea,14,16,15,13,12
2013-09-19 18:58:25,Human,Channeler,Male,Saldaea,16,15,14,14,13
2013-09-19 18:58:24,Human,Channeler,Male,Saldaea,18,15,15,12,12
2013-09-19 18:58:24,Human,Channeler,Male,Saldaea,14,17,15,17,12
2013-09-19 18:58:23,Human,Channeler,Male,Saldaea,13,18,15,11,14
2013-09-19 18:58:23,Human,Channeler,Male,Saldaea,16,19,16,13,16
2013-09-19 18:58:22,Human,Channeler,Male,Saldaea,14,18,13,11,15
2013-09-19 18:58:21,Human,Channeler,Male,Saldaea,16,14,15,13,14
2013-09-19 18:58:20,Human,Channeler,Male,Saldaea,15,14,15,15,12
2013-09-19 18:58:20,Human,Channeler,Male,Saldaea,14,15,15,16,12
2013-09-19 18:58:19,Human,Channeler,Male,Saldaea,14,15,16,13,14
2013-09-19 18:58:19,Human,Channeler,Male,Saldaea,14,15,15,13,14
2013-09-19 18:58:18,Human,Channeler,Male,Saldaea,12,15,16,16,13
2013-09-19 18:58:17,Human,Channeler,Male,Saldaea,14,15,15,14,12
2013-09-19 18:58:16,Human,Channeler,Male,Saldaea,16,15,15,15,9
2013-09-19 18:58:16,Human,Channeler,Male,Saldaea,16,17,15,13,12
