Submitted,Faction,Class,Sex,Homeland,Strength,Intelligence,Willpower,Dexterity,Constitution,Sum
,,,,min,14,9,12,14,14,71
,,,,max,18,15,15,19,15,76
,,,,average,14.29,11.14,11.57,13.71,12.43,63.14
2013-02-19 20:49:45,Human,Warrior,Male,Saldaea,16,14,15,17,14,76
2013-02-19 20:46:47,Human,Warrior,Male,Saldaea,14,9,14,19,15,71
2013-02-19 20:43:47,Human,Warrior,Male,Saldaea,18,14,12,15,14,73
2013-02-19 20:41:13,Human,Warrior,Male,Saldaea,18,13,13,16,15,75
2013-02-19 20:38:39,Human,Warrior,Male,Saldaea,18,15,12,15,14,74
2013-02-19 20:36:22,Human,Warrior,Male,Saldaea,16,13,15,14,15,73
