Submitted,Faction,Class,Sex,Homeland,Strength,Intelligence,Willpower,Dexterity,Constitution
2013-06-16 22:52:52,Human,Channeler,Female,theborderlands,13,15,17,13,14
2013-06-16 22:52:32,Human,Channeler,Female,theborderlands,12,15,15,16,12
2013-06-16 22:51:53,Human,Channeler,Female,theborderlands,13,15,16,14,15
